t,value
1549486896,0
1549486899,0
1549486902,0
1549486905,0
1549486908,0
1549486911,0
1549486914,1
1549486917,2
1549486920,2
1549486923,2
1549486926,2
1549486929,2
1549486932,2
1549486935,2
1549486938,2
1549486941,2
1549486944,2
1549486947,2
1549486950,2
1549486953,2
1549486956,2
1549486959,2
1549486962,2
1549486965,2
1549486968,2
1549486971,2
1549486974,2
1549486977,2
1549486980,2
1549486983,2
1549486986,2
1549486989,2
1549486992,2
1549486995,2
1549486998,2
1549487001,2
1549487004,2
1549487007,2
1549487010,2
1549487013,2
1549487016,2
1549487019,2
1549487022,2
1549487025,2
1549487028,2
1549487031,2
1549487034,2
1549487037,2
1549487040,2
1549487043,2
1549487046,2
1549487049,2
1549487052,2
1549487055,2
1549487058,2
1549487061,2
1549487064,2
1549487067,2
1549487070,2
1549487073,2
1549487076,2
1549487079,2
1549487082,2
1549487085,2
1549487088,2
1549487091,2
1549487094,2
1549487097,2
1549487100,2
1549487103,2
1549487106,2
1549487109,2
1549487112,2
1549487115,2
1549487118,2
1549487121,2
1549487124,2
1549487127,2
1549487130,2
1549487133,2
1549487136,2
1549487139,2
1549487142,2
1549487145,2
1549487148,2
1549487151,2
1549487154,2
1549487157,2
1549487160,2
1549487163,2
1549487166,2
1549487169,2
1549487172,2
1549487175,2
1549487178,2
1549487181,2
1549487184,2
1549487187,2
1549487190,2
1549487193,2
1549487196,2
1549487199,2
1549487202,2
1549487205,2
1549487208,2
1549487211,2
1549487214,2
1549487217,2
1549487220,2
1549487223,2
1549487226,2
1549487229,2
1549487232,2
1549487235,2
1549487238,2
1549487241,2
1549487244,2
1549487247,2
1549487250,2
1549487253,2
1549487256,2
1549487259,2
1549487262,2
1549487265,2
1549487268,2
1549487271,2
1549487274,2
1549487277,2
1549487280,2
1549487283,2
1549487286,2
1549487289,2
1549487292,2
1549487295,2
1549487298,2
1549487301,2
1549487304,2
1549487307,2
1549487310,2
1549487313,2
1549487316,2
1549487319,2
1549487322,2
1549487325,2
1549487328,2
1549487331,2
1549487334,2
1549487337,2
1549487340,2
1549487343,2
1549487346,2
1549487349,2
1549487352,2
1549487355,2
1549487358,2
1549487361,2
1549487364,2
1549487367,2
1549487370,2
1549487373,2
1549487376,2
1549487379,2
1549487382,2
1549487385,2
1549487388,2
1549487391,2
1549487394,2
1549487397,2
1549487400,2
1549487403,2
1549487406,2
1549487409,2
1549487412,2
1549487415,2
1549487418,2
1549487421,2
1549487424,2
1549487427,2
1549487430,2
1549487433,2
1549487436,2
1549487439,2
1549487442,2
1549487445,2
1549487448,2
1549487451,2
1549487454,2
1549487457,2
1549487460,2
1549487463,2
1549487466,2
1549487469,2
1549487472,2
1549487475,2
1549487478,2
1549487481,2
1549487484,2
1549487487,2
1549487490,2
1549487493,2
1549487496,2
1549487499,2
1549487502,2
1549487505,2
1549487508,2
1549487511,2
1549487514,2
1549487517,2
1549487520,2
1549487523,2
1549487526,2
1549487529,2
1549487532,2
1549487535,2
1549487538,2
1549487541,2
1549487544,2
1549487547,2
1549487550,2
1549487553,2
1549487556,2
1549487559,2
1549487562,2
1549487565,2
1549487568,2
1549487571,2
1549487574,2
1549487577,2
1549487580,2
1549487583,2
1549487586,2
1549487589,2
1549487592,2
1549487595,2
1549487598,2
1549487601,2
1549487604,2
1549487607,2
1549487610,2
1549487613,2
1549487616,2
1549487619,2
1549487622,2
1549487625,2
1549487628,2
1549487631,2
1549487634,2
1549487637,2
1549487640,2
1549487643,2
1549487646,2
1549487649,2
1549487652,2
1549487655,2
1549487658,2
1549487661,2
1549487664,2
1549487667,2
1549487670,2
1549487673,2
1549487676,2
1549487679,2
1549487682,2
1549487685,2
1549487688,2
1549487691,2
1549487694,2
1549487697,2
1549487700,2
1549487703,2
1549487706,2
1549487709,2
1549487712,2
1549487715,2
1549487718,2
1549487721,2
1549487724,2
1549487727,2
1549487730,2
1549487733,2
1549487736,2
1549487739,2
1549487742,2
1549487745,2
1549487748,2
1549487751,2
1549487754,2
1549487757,2
1549487760,2
1549487763,2
1549487766,2
1549487769,2
1549487772,2
1549487775,2
1549487778,2
1549487781,2
1549487784,2
1549487787,2
1549487790,2
1549487793,2
1549487796,2
1549487799,2
1549487802,2
1549487805,2
1549487808,2
1549487811,2
1549487814,2
1549487817,2
1549487820,2
1549487823,2
1549487826,2
1549487829,2
1549487832,2
1549487835,2
1549487838,2
1549487841,2
1549487844,2
1549487847,2
1549487850,2
1549487853,2
1549487856,2
1549487859,2
1549487862,2
1549487865,2
1549487868,2
1549487871,2
1549487874,2
1549487877,2
1549487880,2
1549487883,2
1549487886,13
1549487889,14
t,value
1549487960,0
1549487963,0
1549487966,0
1549487969,0
1549487972,0
1549487975,1
1549487978,2
1549487983,2
1549487984,2
1549487987,2
1549487990,2
1549487993,2
1549487996,2
1549487999,2
1549488002,2
1549488005,2
1549488008,2
1549488011,2
1549488014,2
1549488017,2
1549488020,2
1549488023,2
1549488026,2
1549488029,2
1549488032,2
1549488035,2
1549488038,2
1549488041,2
1549488044,2
1549488047,2
1549488050,2
1549488053,2
1549488056,2
1549488059,2
1549488062,2
1549488065,2
1549488068,2
1549488071,2
1549488074,2
1549488077,2
1549488080,2
1549488083,2
1549488086,2
1549488089,2
1549488092,2
1549488095,2
1549488098,2
1549488101,2
1549488104,2
1549488107,2
1549488110,2
1549488113,2
1549488116,2
1549488119,2
1549488122,2
1549488125,2
1549488128,2
1549488131,2
1549488134,2
1549488137,2
1549488140,2
1549488143,2
1549488146,2
1549488149,2
1549488152,2
1549488155,2
1549488158,2
1549488161,2
1549488164,2
1549488167,2
1549488170,2
1549488173,2
1549488176,2
1549488179,2
1549488182,2
1549488185,2
1549488188,2
1549488191,2
1549488194,2
1549488197,2
1549488200,2
1549488203,2
1549488206,2
1549488209,2
1549488212,2
1549488215,2
1549488218,2
1549488221,2
1549488224,2
1549488227,2
1549488230,2
1549488233,2
1549488236,2
1549488239,2
1549488242,2
1549488245,2
1549488248,2
1549488251,2
1549488254,2
1549488257,2
1549488260,2
1549488263,2
1549488266,2
1549488269,2
1549488272,2
1549488275,2
1549488278,2
1549488281,2
1549488284,2
1549488287,2
1549488290,2
1549488293,2
1549488296,2
1549488299,2
1549488302,2
1549488305,2
1549488308,2
1549488311,2
1549488314,2
1549488317,2
1549488320,2
1549488323,2
1549488326,2
1549488329,2
1549488332,2
1549488335,2
1549488338,2
1549488341,2
1549488344,2
1549488347,2
1549488350,2
1549488353,2
1549488356,2
1549488359,2
1549488362,2
1549488365,2
1549488368,2
1549488371,2
1549488374,2
1549488377,2
1549488380,2
1549488383,2
1549488386,2
1549488389,2
1549488392,2
1549488395,2
1549488398,2
1549488401,2
1549488404,2
1549488407,2
1549488410,2
1549488413,2
1549488416,2
1549488419,2
1549488422,2
1549488425,2
1549488428,2
1549488431,2
1549488434,2
1549488437,2
1549488440,2
1549488443,2
1549488446,2
1549488449,2
1549488452,2
1549488455,2
1549488458,2
1549488461,2
1549488464,2
1549488467,2
1549488470,2
1549488473,2
1549488476,2
1549488479,2
1549488482,2
1549488485,2
1549488488,2
1549488491,2
1549488494,2
1549488497,2
1549488500,2
1549488503,2
1549488506,2
1549488509,2
1549488512,2
1549488515,2
1549488518,2
1549488521,2
1549488524,2
1549488527,2
1549488530,2
1549488533,2
1549488536,2
1549488539,2
1549488542,2
1549488545,2
1549488548,2
1549488551,2
1549488554,2
1549488557,2
1549488560,2
1549488563,2
1549488566,2
1549488569,2
1549488572,2
1549488575,2
1549488578,2
1549488581,2
1549488584,2
1549488587,2
1549488590,2
1549488593,2
1549488596,2
1549488599,2
1549488602,2
1549488605,2
1549488608,2
1549488611,2
1549488614,2
1549488617,2
1549488620,2
1549488623,2
1549488626,2
1549488629,2
1549488632,2
1549488635,2
1549488638,2
1549488641,2
1549488644,2
1549488647,2
1549488650,2
1549488653,2
1549488656,2
1549488659,2
1549488662,2
1549488665,2
1549488668,2
1549488671,2
1549488674,2
1549488677,2
1549488680,2
1549488683,2
1549488686,2
1549488689,2
1549488692,2
1549488695,2
1549488698,2
1549488701,2
1549488704,2
1549488707,2
1549488710,2
1549488713,2
1549488716,2
1549488719,2
1549488722,2
1549488725,2
1549488728,2
1549488731,2
1549488734,2
1549488737,2
1549488740,2
1549488743,2
1549488746,2
